id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
JO-JA,الأردن,جرش,—,جرش,—,جرش,جراسا,محافظة+مدينة,32.2808,35.8997,660,286000,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الشمال؛ أصغر مساحة ~410 كم²؛ لواء واحد؛ تعداد 2015 كان 237059
JO-AJ,الأردن,عجلون,—,عجلون,—,عجلون,عجلون,محافظة+مدينة,32.3326,35.7517,1100,212500,2023,دائرة الإحصاءات العامة الأردنية (تقدير نهاية 2023),2023,🟢,إقليم الشمال؛ قلعة الربض هنا لا جرش؛ تعداد 2015 كان 176080
JO-CITY-إربد,الأردن,إربد,قصبة إربد,إربد,—,إربد,Irbid,مدينة,32.5560,35.8500,620,502714,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,مدينة ≠ محافظة 2135000 (2023)
JO-CITY-الزرقاء,الأردن,الزرقاء,قصبة الزرقاء,الزرقاء,—,الزرقاء,Az-Zarqāʾ,مدينة,32.0730,36.0880,620,635160,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,أكبر من إربد المدينة 2015؛ ليست عمّان
JO-CITY-الرصيفة,الأردن,الزرقاء,الرصيفة,الرصيفة,—,الرصيفة,Russeifa,مدينة,32.0180,36.0460,650,472604,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟡,يشمل مشيرفة رأس العين في الجدول؛ ليست عمّان
JO-CITY-السلط,الأردن,البلقاء,قصبة السلط,السلط,—,السلط,As-Salṭ,مدينة,32.0390,35.7270,820,99890,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,يونسكو 2021؛ ليست عمّان
JO-CITY-الكرك,الأردن,الكرك,قصبة الكرك,الكرك,—,الكرك,Al-Karak,مدينة,31.1850,35.7050,930,32216,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,القلعة هنا؛ الشوبك في معان
JO-CITY-العقبة,الأردن,العقبة,قصبة العقبة,العقبة,—,العقبة,أيلة,مدينة,29.5270,35.0060,10,148398,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,الميناء؛ البتراء ليست هنا
JO-CITY-معان,الأردن,معان,قصبة معان,معان,—,معان,Maʿān,مدينة,30.1960,35.7340,1100,41055,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,المركز؛ البتراء في وادي موسى
JO-CITY-واديموسى,الأردن,معان,البتراء,وادي موسى,—,وادي موسى,Wādī Mūsā,مدينة,30.3220,35.4790,1100,6831,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟡,2015 أقل من 2004؛ البتراء يونسكو 1985
JO-CITY-جرش,الأردن,جرش,قصبة جرش,جرش,—,جرش,جراسا,مدينة,32.2810,35.9000,660,50745,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,جراسا هنا لا عجلون
JO-CITY-عجلون,الأردن,عجلون,قصبة عجلون,عجلون,—,عجلون,ʿAjlūn,مدينة,32.3330,35.7520,1100,9990,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,مركز المحافظة تحت 20 ألفًا؛ الربض هنا
JO-CITY-المفرق,الأردن,المفرق,قصبة المفرق,المفرق,—,المفرق,Al-Mafraq,مدينة,32.3420,36.2080,700,106008,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,ليست الزعتري ولا الأزرق
JO-CITY-مأدبا,الأردن,مأدبا,قصبة مأدبا,مأدبا,—,مأدبا,مادبا,مدينة,31.7200,35.7950,770,105353,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,الفسيفساء؛ أم الرصاص في العاصمة
JO-CITY-الطفيلة,الأردن,الطفيلة,قصبة الطفيلة,الطفيلة,—,الطفيلة,Aṭ-Ṭafīlah,مدينة,30.8380,35.6040,940,27559,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,ضانا في المحافظة لا شوارع المدينة
JO-CITY-الرمثا,الأردن,إربد,الرمثا,الرمثا,—,الرمثا,Ar-Ramthā,مدينة,32.5590,36.0070,520,155693,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,حدود سورية؛ ليست إربد المركز
JO-CITY-سحاب,الأردن,العاصمة,سحاب,سحاب,—,سحاب,Saḥāb,مدينة,31.8700,36.0050,800,169434,2015,تعداد 30 نوفمبر 2015 DOS/citypopulation,2015,🟢,محافظة العاصمة لا ملف عمّان
