id,الدولة,الوحدة_الإدارية_العليا,المستوى_الثاني,المدينة_أو_القرية,الحي_أو_الحارة,الاسم_المحلي,الأسماء_البديلة,النوع,خط_العرض,خط_الطول,الارتفاع_م,السكان,سنة_السكان,المصدر,تاريخ_المصدر,درجة_الثقة,ملاحظات
DZ-14,الجزائر,تيارت,—,تيارت,—,تيارت,Tiaret / تاهرت,ولاية,35.3700,1.3200,1080,846823,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,رستميون؛ فصل قصر الشلالة
DZ-15,الجزائر,تيزي وزو,—,تيزي وزو,—,تيزي وزو,Tizi Ouzou / ⵜⵉⵣⵉ ⵡⵓⵣⵣⵓ,ولاية,36.7118,4.0459,200,1127607,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,67 بلدية أكثر عددًا
DZ-16,الجزائر,الجزائر,—,الجزائر,—,الجزائر,Alger / الجزائر العاصمة / البهجة,ولاية+عاصمة,36.7538,3.0588,12,2988145,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,عاصمة؛ مساحة 273/809/1190 خلاف
DZ-17,الجزائر,الجلفة,—,الجلفة,—,الجلفة,Djelfa,ولاية,34.6704,3.2500,1140,1223223,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل عين وسارة ومسعد 2026
DZ-18,الجزائر,جيجل,—,جيجل,—,جيجل,Jijel,ولاية,36.8210,5.7634,10,636948,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,جن جن هنا
DZ-19,الجزائر,سطيف,—,سطيف,—,سطيف,Sétif,ولاية,36.1898,5.4108,1081,1489979,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,جميلة هنا لا تيمقاد
DZ-20,الجزائر,سعيدة,—,سعيدة,—,سعيدة,Saïda,ولاية,34.8303,0.1517,870,330641,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,6 دوائر
DZ-21,الجزائر,سكيكدة,—,سكيكدة,—,سكيكدة,Skikda / روسيكادا,ولاية,36.8663,6.9063,10,898680,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,13 دائرة
DZ-22,الجزائر,سيدي بلعباس,—,سيدي بلعباس,—,سيدي بلعباس,Sidi Bel Abbès,ولاية,35.1894,-0.6308,470,604744,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,52 بلدية
DZ-23,الجزائر,عنابة,—,عنابة,—,عنابة,Annaba / بونة / Hippo,ولاية,36.9000,7.7667,5,609499,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,الحجار هنا؛ ليس 482430
DZ-24,الجزائر,قالمة,—,قالمة,—,قالمة,Guelma / كالاما,ولاية,36.4621,7.4261,280,482430,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,482430 هنا لا عنابة
DZ-25,الجزائر,قسنطينة,—,قسنطينة,—,قسنطينة,Constantine / سيرتا,ولاية,36.3650,6.6147,640,938475,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,عاصمة الشرق
DZ-26,الجزائر,المدية,—,المدية,—,المدية,Médéa / التيطري,ولاية,36.2642,2.7539,880,830943,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل قصر البخاري 2026
DZ-27,الجزائر,مستغانم,—,مستغانم,—,مستغانم,Mostaganem,ولاية,35.9311,0.0892,85,737118,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,10 دوائر
DZ-28,الجزائر,المسيلة,—,المسيلة,—,المسيلة,M'Sila / الحضنة,ولاية,35.7058,4.5419,470,991846,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,قلعة بني حماد هنا
DZ-29,الجزائر,معسكر,—,معسكر,—,معسكر,Mascara,ولاية,35.3966,0.1403,550,784073,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,16 دائرة
DZ-30,الجزائر,ورقلة,—,ورقلة,—,ورقلة,Ouargla / ورجلة,ولاية,31.9493,5.3250,141,558558,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,حاسي مسعود هنا
DZ-31,الجزائر,وهران,—,وهران,—,وهران,Oran / وهران / الباهية,ولاية,35.6976,-0.6337,60,1454078,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,راي؛ تعارض 1.45م/1.58م
DZ-32,الجزائر,البيض,—,البيض,—,البيض,El Bayadh,ولاية,33.6832,1.0193,1310,262187,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل الأبيض سيدي الشيخ
DZ-33,الجزائر,إليزي,—,إليزي,—,إليزي,Illizi,ولاية,26.4833,8.4667,567,52333,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,تاسيلي مشترك مع جانت
DZ-34,الجزائر,برج بوعريريج,—,برج بوعريريج,—,برج بوعريريج,Bordj Bou Arreridj,ولاية,36.0732,4.7611,920,628475,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,10 دوائر
DZ-35,الجزائر,بومرداس,—,بومرداس,—,بومرداس,Boumerdès / سابقًا جزء من الجزائر العاصمة إداريًا,ولاية,36.7664,3.4772,50,802083,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,زلزال 2003
DZ-36,الجزائر,الطارف,—,الطارف,—,الطارف,El Tarf,ولاية,36.7670,8.3136,20,408414,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,القالة هنا
DZ-37,الجزائر,تندوف,—,تندوف,—,تندوف,Tindouf,ولاية,27.6742,-8.1474,400,49149,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,مخيمات تُذكر بحياد؛ مساحة 159ألف/58ألف خلاف
DZ-38,الجزائر,تيسمسيلت,—,تيسمسيلت,—,تيسمسيلت,Tissemsilt,ولاية,35.6072,1.8108,850,294476,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,ثنية الحد هنا
DZ-39,الجزائر,الوادي,—,الوادي,—,الوادي,El Oued / وادي سوف,ولاية,33.3683,6.8674,80,673934,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,فصل المغير 2019
DZ-40,الجزائر,خنشلة,—,خنشلة,—,خنشلة,Khenchela,ولاية,35.4358,7.1433,1200,386683,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,8 دوائر
DZ-41,الجزائر,سوق أهراس,—,سوق أهراس,—,سوق أهراس,Souk Ahras / طاغاست,ولاية,36.2864,7.9511,700,438127,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,مولد أوغسطين هنا
DZ-42,الجزائر,تيبازة,—,تيبازة,—,تيبازة,Tipaza,ولاية,36.5897,2.4475,15,591010,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,يونسكو 1982 هنا
DZ-43,الجزائر,ميلة,—,ميلة,—,ميلة,Mila,ولاية,36.4503,6.2644,480,766886,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,مساحة 9375/3407 خلاف
DZ-44,الجزائر,عين الدفلى,—,عين الدفلى,—,عين الدفلى,Aïn Defla,ولاية,36.2641,1.9679,280,766013,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,14 دائرة
DZ-45,الجزائر,النعامة,—,النعامة,—,النعامة,Naâma,ولاية,33.2667,-0.3167,1170,192891,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,7 دوائر 12 بلدية
DZ-46,الجزائر,عين تموشنت,—,عين تموشنت,—,عين تموشنت,Aïn Témouchent,ولاية,35.2975,-1.1404,80,384565,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,بني صاف هنا
DZ-47,الجزائر,غرداية,—,غرداية,—,غرداية,Ghardaïa / مزاب / ⵜⴰⵖⵔⴷⴰⵢⵜ,ولاية,32.4900,3.6700,500,375988,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,مزاب هنا لا المنيعة
DZ-48,الجزائر,غليزان,—,غليزان,—,غليزان,Relizane / غليزان,ولاية,35.7373,0.5560,100,733060,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟢,13 دائرة
DZ-49,الجزائر,تيميمون,—,تيميمون,—,تيميمون,Timimoun / قورارة,ولاية,29.2639,0.2308,312,122019,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من أدرار
DZ-50,الجزائر,برج باجي مختار,—,برج باجي مختار,—,برج باجي مختار,Bordj Badji Mokhtar,ولاية,21.3272,0.9542,397,16437,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من أدرار؛ 16437 نسمة
DZ-51,الجزائر,أولاد جلال,—,أولاد جلال,—,أولاد جلال,Ouled Djellal,ولاية,34.4333,5.0667,160,174219,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من بسكرة
DZ-52,الجزائر,بني عباس,—,بني عباس,—,بني عباس,Béni Abbès,ولاية,30.1311,-2.1667,500,50163,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من بشار
DZ-53,الجزائر,عين صالح,—,عين صالح,—,عين صالح,In Salah / إن صالح / تيديكلت,ولاية,27.1936,2.4606,280,50163,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من تمنراست
DZ-54,الجزائر,عين قزام,—,عين قزام,—,عين قزام,In Guezzam / إن قزام,ولاية,19.5723,5.7692,400,11202,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من تمنراست؛ الأقل سكانًا تقريبًا
DZ-55,الجزائر,تقرت,—,تقرت,—,تقرت,Touggourt / توقرت,ولاية,33.1053,6.0578,85,247221,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من ورقلة
DZ-56,الجزائر,جانت,—,جانت,—,جانت,Djanet,ولاية,24.5540,9.4840,1050,17618,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من إليزي
DZ-57,الجزائر,المغير,—,المغير,—,المغير,El M'Ghair / المغير,ولاية,33.9500,5.9242,40,162267,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من الوادي؛ جامعة دائرة لا جامعة تعليم
DZ-58,الجزائر,المنيعة,—,المنيعة,—,المنيعة,El Menia / المنيعة / El Goléa,ولاية,30.5792,2.8831,380,57276,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2019 من غرداية
DZ-59,الجزائر,أفلو,—,أفلو,—,أفلو,Aflou,ولاية,34.1128,2.1022,1400,182938,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من الأغواط؛ انتقال حتى 2026-12-31
DZ-60,الجزائر,بريكة,—,بريكة,—,بريكة,Barika,ولاية,35.3890,5.3658,460,181716,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من باتنة
DZ-61,الجزائر,القنطرة,—,القنطرة,—,القنطرة,El Kantara,ولاية,35.2253,5.7064,530,43110,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من بسكرة
DZ-62,الجزائر,بئر العاتر,—,بئر العاتر,—,بئر العاتر,Bir El Ater,ولاية,34.7449,8.0581,850,98441,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من تبسة
DZ-63,الجزائر,العريشة,—,العريشة,—,العريشة,El Aricha,ولاية,34.2167,-1.2667,1100,30614,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من تلمسان
DZ-64,الجزائر,قصر الشلالة,—,قصر الشلالة,—,قصر الشلالة,Ksar Chellala,ولاية,35.2122,2.3186,830,,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من تيارت؛ فجوة أرقام
DZ-65,الجزائر,عين وسارة,—,عين وسارة,—,عين وسارة,Aïn Oussera / عين وسارة,ولاية,35.4489,2.9058,690,251038,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من الجلفة
DZ-66,الجزائر,مسعد,—,مسعد,—,مسعد,Messaad / مسعد,ولاية,34.1542,3.4969,760,220069,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من الجلفة
DZ-67,الجزائر,قصر البخاري,—,قصر البخاري,—,قصر البخاري,Ksar El Boukhari,ولاية,35.8856,2.7508,680,256920,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من المدية
DZ-68,الجزائر,بوسعادة,—,بوسعادة,—,بوسعادة,Bou Saâda / بوسعادة,ولاية,35.2131,4.1744,550,416129,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من المسيلة
DZ-69,الجزائر,الأبيض سيدي الشيخ,—,الأبيض سيدي الشيخ,—,الأبيض سيدي الشيخ,El Abiodh Sidi Cheikh,ولاية,32.8931,0.5481,900,43277,2008,ONS تعداد 2008 (حدود قديمة إن فُصلت لاحقًا) + قانون 19-12 و26-06,2008/2019/2026,🟡,2026 من البيض
ال-CT001,الجزائر,,,تيمقاد,,تيمقاد,,مدينة,,,,,,ملف المدينة في المشروع,2026,🟢,ملف مستقل: الدول/الجزائر/المدن/تيمقاد/تيمقاد.md
