id,schema_version,country_code,status,source_id,as_of,definition,denominator,layer,license,missing_reason,notes,snapshot_date,source_locator,value
DEN-LY-COUNTRY-SCOPE,1.0.0,LY,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry LY,1
DEN-LY-CURRENT-MUNICIPALITIES,1.0.0,LY,unavailable,SRC-LY-MOLG-MUNICIPALITIES-2026,2026-08-15,Current municipalities in the Ministry of Local Government register,,current_municipalities,License not stated on source page,"A dated, reproducible national denominator remains unresolved; legacy material is only a matched subset and missing municipalities were not guessed or mass-added.",,2026-08-15,Map-heavy national catalogue; extracted sequence has gaps and was not accepted as a denominator,
DEN-LY-HISTORICAL-SHABIYAT-2006,1.0.0,LY,official,SRC-LY-BSC-CENSUS-2006,2006-04-15,Historical census regions represented in the 2006 Bureau of Statistics tables,22,historical_shabiyat_2006,License not stated on source page,,This 100% is a historical 2006 layer only and says nothing about current municipalities.,2006-04-15,22 regional census tables/entries,22
DEN-LY-MAHALLAS,1.0.0,LY,unavailable,SRC-LY-MOLG-MUNICIPALITIES-2026,2026-08-15,Current mahallas beneath municipalities,,mahallas,License not stated on source page,No dated national denominator or complete source snapshot was verified.,,2026-08-15,Municipality profile pages list mahallas unevenly,
DEN-MA-COUNTRY-SCOPE,1.0.0,MA,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry MA,1
DEN-MR-COUNTRY-SCOPE,1.0.0,MR,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry MR,1
DEN-OM-COUNTRY-SCOPE,1.0.0,OM,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry OM,1
DEN-PS-COUNTRY-SCOPE,1.0.0,PS,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry PS,1
DEN-QA-COUNTRY-SCOPE,1.0.0,QA,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry QA,1
DEN-SA-COUNTRY-SCOPE,1.0.0,SA,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry SA,1
DEN-SD-COUNTRY-SCOPE,1.0.0,SD,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry SD,1
DEN-SO-COUNTRY-SCOPE,1.0.0,SO,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry SO,1
DEN-SY-COUNTRY-SCOPE,1.0.0,SY,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry SY,1
DEN-TN-CITIES,1.0.0,TN,unavailable,SRC-TN-ONTT-PLACES-2018,2026-08-15,National register of places explicitly classified as cities,,cities,Copyright ONTT; factual extraction only,No dated official national city denominator was found; one sourced city is a bounded pilot and no completion is claimed.,,2026-08-15,National register of places explicitly classified as cities,
DEN-TN-COUNTRY-SCOPE,1.0.0,TN,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,,2026-08-15,ISO country entity in the project's 22-country scope,1
DEN-TN-DELEGATIONS,1.0.0,TN,official,SRC-TN-HDX-CODAB-2022,2022-11-15,Delegations in COD-AB v01 valid from 2022-11-15,264,delegations,Creative Commons Attribution 3.0 IGO,,,2022-11-15,Delegations in COD-AB v01 valid from 2022-11-15,264
DEN-TN-GOVERNORATES,1.0.0,TN,official,SRC-TN-HDX-CODAB-2022,2022-11-15,Governorates in COD-AB v01 valid from 2022-11-15,24,governorates,Creative Commons Attribution 3.0 IGO,,,2022-11-15,Governorates in COD-AB v01 valid from 2022-11-15,24
DEN-TN-IMADAS,1.0.0,TN,official,SRC-TN-HDX-CODAB-2022,2022-11-15,Imadas/sectors in COD-AB v01 valid from 2022-11-15,2084,imadas,Creative Commons Attribution 3.0 IGO,,,2022-11-15,Imadas/sectors in COD-AB v01 valid from 2022-11-15,2084
DEN-TN-MUNICIPALITIES-2024,1.0.0,TN,official,SRC-TN-DGCL-MUNICIPALITIES-2024,2024-01-01,Coded municipalities in the January 2024 official register,350,municipalities,Resource-specific license not stated; factual register transcription only,,,2024-01-01,Coded municipalities in the January 2024 official register,350
DEN-TN-POPULATED-PLACES,1.0.0,TN,unavailable,SRC-TN-ONTT-PLACES-2018,2026-08-15,"National register of cities, towns, villages, settlements, neighborhoods, and historical places",,populated_places,Copyright ONTT; factual extraction only,No dated official national populated-place denominator was found; six distinct types form a bounded sourced pilot only.,,2026-08-15,"National register of cities, towns, villages, settlements, neighborhoods, and historical places",
DEN-TN-WORLD-HERITAGE-2026,1.0.0,TN,official,SRC-UNESCO-WHC-TN-2026,2026-08-15,World Heritage properties on UNESCO's Tunisia State Party list,10,world_heritage_properties,CC BY-SA 3.0 IGO for property descriptions,,,2026-08-15,World Heritage properties on UNESCO's Tunisia State Party list,10
DEN-YE-COUNTRY-SCOPE,1.0.0,YE,official,SRC-ISO-3166-1-2020,2026-08-15,ISO country entity in the project's 22-country scope,1,country_scope,ISO copyright; reuse is subject to ISO terms of use,,"This 100% applies only to the one-record country-scope layer, not to cities, villages, neighborhoods, lanes, or administrative tiers.",2026-08-15,ISO alpha-2 entry YE,1
