governorate_code,municipality_code,official_name_ar,official_name_fr,research_mun_uid,mapping_review,latitude,longitude,source_locator
14,1414,وادي الليل,Oued Ellil,37,exact_or_high_confidence_label_match,36.82789,10.025535,January 2024 workbook row: governorate 14; municipality code 1414
14,1415,المرناقية,Mornaguia,33,exact_or_high_confidence_label_match,36.705226,10.031966,January 2024 workbook row: governorate 14; municipality code 1415
14,1416,برج العامري,Borj El Amri,30,exact_or_high_confidence_label_match,36.680434,9.853195,January 2024 workbook row: governorate 14; municipality code 1416
14,1417,الدندان,Djedaida,36,exact_or_high_confidence_label_match,36.863034,9.924573,January 2024 workbook row: governorate 14; municipality code 1417
14,1418,طبربة,Tebourba,35,exact_or_high_confidence_label_match,36.858009,9.746091,January 2024 workbook row: governorate 14; municipality code 1418
14,1419,البطان,El Battan,31,exact_or_high_confidence_label_match,36.775488,9.763913,January 2024 workbook row: governorate 14; municipality code 1419
14,1420,البساتين,El Bassatine,29,exact_or_high_confidence_label_match,36.683973,9.946518,January 2024 workbook row: governorate 14; municipality code 1420
15,1511,نابل,Nabeul,65,exact_or_high_confidence_label_match,36.478667,10.680073,January 2024 workbook row: governorate 15; municipality code 1511
15,1512,دار شعبان الفهري,Dar Chaabane El Fehri,61,exact_or_high_confidence_label_match,36.523979,10.701684,January 2024 workbook row: governorate 15; municipality code 1512
15,1513,بني خيار,Beni Khiar,53,exact_or_high_confidence_label_match,36.507987,10.766252,January 2024 workbook row: governorate 15; municipality code 1513
15,1514,المعمورة,El Mâamoura,45,exact_or_high_confidence_label_match,36.484653,10.812542,January 2024 workbook row: governorate 15; municipality code 1514
15,1515,الصمعة,Somaâ,41,exact_or_high_confidence_label_match,36.558511,10.763242,January 2024 workbook row: governorate 15; municipality code 1515
15,1516,قربة,Korba,64,exact_or_high_confidence_label_match,36.628295,10.806305,January 2024 workbook row: governorate 15; municipality code 1516
15,1517,تازركة,Tazarka,42,reviewed_label_match,36.541663,10.829159,January 2024 workbook row: governorate 15; municipality code 1517
15,1518,منزل تميم,Menzel Temime,63,exact_or_high_confidence_label_match,36.818733,10.907726,January 2024 workbook row: governorate 15; municipality code 1518
15,1519,منزل حر,Menzel Horr,50,exact_or_high_confidence_label_match,36.7531,10.925376,January 2024 workbook row: governorate 15; municipality code 1519
15,1520,الميدة,El Mida,56,exact_or_high_confidence_label_match,36.720772,10.84955,January 2024 workbook row: governorate 15; municipality code 1520
15,1521,قليبية,Kelibia,62,exact_or_high_confidence_label_match,36.846241,11.050965,January 2024 workbook row: governorate 15; municipality code 1521
15,1522,ازمور,Azmour,44,exact_or_high_confidence_label_match,36.912571,10.992994,January 2024 workbook row: governorate 15; municipality code 1522
15,1523,حمام الأغزام,Hammam El Guezaz,43,exact_or_high_confidence_label_match,36.886406,11.085883,January 2024 workbook row: governorate 15; municipality code 1523
15,1524,دار علوش,Dar Allouch,40,exact_or_high_confidence_label_match,36.957439,11.059343,January 2024 workbook row: governorate 15; municipality code 1524
15,1525,الھوارية,El Haouaria,54,exact_or_high_confidence_label_match,37.012672,10.982821,January 2024 workbook row: governorate 15; municipality code 1525
15,1526,تاكلسة,Takelsa,51,exact_or_high_confidence_label_match,36.810052,10.683275,January 2024 workbook row: governorate 15; municipality code 1526
15,1527,سليمان,Soliman,58,exact_or_high_confidence_label_match,36.714664,10.480322,January 2024 workbook row: governorate 15; municipality code 1527
15,1528,قربص,Korbous,39,exact_or_high_confidence_label_match,36.774709,10.574925,January 2024 workbook row: governorate 15; municipality code 1528
15,1529,منزل بوزلفة,Menzel Bou Zelfa,59,exact_or_high_confidence_label_match,36.698163,10.66997,January 2024 workbook row: governorate 15; municipality code 1529
15,1530,بني خلاد,Beni Khalled,55,exact_or_high_confidence_label_match,36.634288,10.654183,January 2024 workbook row: governorate 15; municipality code 1530
15,1531,زاوية الجديدي,Zaouiet Djedidi,46,exact_or_high_confidence_label_match,36.617722,10.586534,January 2024 workbook row: governorate 15; municipality code 1531
15,1532,قرنبالية,Grombalia,60,exact_or_high_confidence_label_match,36.557355,10.462808,January 2024 workbook row: governorate 15; municipality code 1532
15,1533,بوعرقوب,Bou Argoub,57,exact_or_high_confidence_label_match,36.530056,10.57926,January 2024 workbook row: governorate 15; municipality code 1533
15,1534,الحمامات,Hammamet,66,exact_or_high_confidence_label_match,36.427532,10.577481,January 2024 workbook row: governorate 15; municipality code 1534
15,1535,فندق الجديد - سلتان,Fondek Ejedid - Es Selten,52,reviewed_label_match,36.627433,10.422608,January 2024 workbook row: governorate 15; municipality code 1535
15,1536,تزغران بوكريم زاوية المقايز,Tazegrane Boukrim Zaouiet Mgaiez,49,reviewed_label_match,36.911387,10.866703,January 2024 workbook row: governorate 15; municipality code 1536
15,1537,سيدي الجديدي,Sidi Jedidi,48,exact_or_high_confidence_label_match,36.436277,10.437718,January 2024 workbook row: governorate 15; municipality code 1537
15,1538,الشريفات / بوشراي,Echerifet Boucharray,47,exact_or_high_confidence_label_match,36.684786,10.528445,January 2024 workbook row: governorate 15; municipality code 1538
16,1611,زغوان‎,Zaghouan,74,exact_or_high_confidence_label_match,36.414703,10.180613,January 2024 workbook row: governorate 16; municipality code 1611
16,1612,الزريبة,Ez-Zeriba,71,exact_or_high_confidence_label_match,36.307341,10.237372,January 2024 workbook row: governorate 16; municipality code 1612
16,1613,بئر مشارقة,Bir Mchergua,70,exact_or_high_confidence_label_match,36.487461,9.935114,January 2024 workbook row: governorate 16; municipality code 1613
16,1614,رواد,Jebel Oust,67,exact_or_high_confidence_label_match,36.561483,10.050317,January 2024 workbook row: governorate 16; municipality code 1614
16,1615,الفحص,El Fahs,73,exact_or_high_confidence_label_match,36.349008,9.921019,January 2024 workbook row: governorate 16; municipality code 1615
16,1616,الناظور,En-Nadhour,72,exact_or_high_confidence_label_match,36.117378,9.985995,January 2024 workbook row: governorate 16; municipality code 1616
16,1617,صواف,Saouaf,69,exact_or_high_confidence_label_match,36.207238,10.149527,January 2024 workbook row: governorate 16; municipality code 1617
16,1618,العمايم,El Amaiem,68,exact_or_high_confidence_label_match,36.246104,9.796956,January 2024 workbook row: governorate 16; municipality code 1618
17,1711,بنزرت,Bizerte,91,exact_or_high_confidence_label_match,37.264102,9.670925,January 2024 workbook row: governorate 17; municipality code 1711
17,1712,سجنان,Sedjnane,82,exact_or_high_confidence_label_match,37.111728,9.186458,January 2024 workbook row: governorate 17; municipality code 1712
17,1713,ماطر,Mateur,89,exact_or_high_confidence_label_match,36.983795,9.668903,January 2024 workbook row: governorate 17; municipality code 1713
17,1714,منزل بورقيبة,Menzel Bourguiba,90,exact_or_high_confidence_label_match,37.107223,9.844366,January 2024 workbook row: governorate 17; municipality code 1714
17,1715,العمران الأعلى,Tinja,83,exact_or_high_confidence_label_match,37.119292,9.723297,January 2024 workbook row: governorate 17; municipality code 1715
17,1716,غار الملح,Ghar El Meleh,75,exact_or_high_confidence_label_match,37.168525,10.169924,January 2024 workbook row: governorate 17; municipality code 1716
17,1717,عوسجة,Ousja,76,exact_or_high_confidence_label_match,37.152189,10.067388,January 2024 workbook row: governorate 17; municipality code 1717
17,1718,منزل جميل,Menzel Djemil,86,exact_or_high_confidence_label_match,37.214564,9.95775,January 2024 workbook row: governorate 17; municipality code 1718
17,1719,منزل عبد الرحمان,Menzel Abderrahmen,80,exact_or_high_confidence_label_match,37.237671,9.859766,January 2024 workbook row: governorate 17; municipality code 1719
17,1720,العالية,El Alia,85,exact_or_high_confidence_label_match,37.154537,9.99474,January 2024 workbook row: governorate 17; municipality code 1720
17,1721,راس الجبل,Ras El Djebel,88,exact_or_high_confidence_label_match,37.217102,10.114019,January 2024 workbook row: governorate 17; municipality code 1721
17,1722,ماتلين,Metline,78,exact_or_high_confidence_label_match,37.235422,10.044445,January 2024 workbook row: governorate 17; municipality code 1722
17,1723,رفراف,Rafraf,77,exact_or_high_confidence_label_match,37.192889,10.182415,January 2024 workbook row: governorate 17; municipality code 1723
17,1724,اوتيك,Utique,81,exact_or_high_confidence_label_match,37.029973,9.974881,January 2024 workbook row: governorate 17; municipality code 1724
17,1725,جومين,Joumine,87,exact_or_high_confidence_label_match,36.89429,9.397986,January 2024 workbook row: governorate 17; municipality code 1725
17,1726,غزالة,Ghzala,84,exact_or_high_confidence_label_match,37.083722,9.488999,January 2024 workbook row: governorate 17; municipality code 1726
17,1727,الحشاشنة,El Hchachna,79,exact_or_high_confidence_label_match,37.161801,9.351588,January 2024 workbook row: governorate 17; municipality code 1727
21,2111,باجة,Béja,103,exact_or_high_confidence_label_match,36.800283,9.238899,January 2024 workbook row: governorate 21; municipality code 2111
21,2112,المعقولة,El Mâagoula,95,exact_or_high_confidence_label_match,36.674396,9.202736,January 2024 workbook row: governorate 21; municipality code 2112
21,2113,زھرة مدين,Zahret Medien,97,exact_or_high_confidence_label_match,36.792966,9.035551,January 2024 workbook row: governorate 21; municipality code 2113
21,2114,نفزة,Nefza,100,exact_or_high_confidence_label_match,37.036854,9.041225,January 2024 workbook row: governorate 21; municipality code 2114
21,2115,تبرسق,Teboursouk,99,exact_or_high_confidence_label_match,36.452781,9.232285,January 2024 workbook row: governorate 21; municipality code 2115
21,2116,تستور,Testour,101,exact_or_high_confidence_label_match,36.577323,9.397067,January 2024 workbook row: governorate 21; municipality code 2116
21,2117,قبلاط,Goubellat,96,exact_or_high_confidence_label_match,36.529259,9.691234,January 2024 workbook row: governorate 21; municipality code 2117
21,2118,مجاز الباب,Medjez El Bab,102,exact_or_high_confidence_label_match,36.698458,9.617382,January 2024 workbook row: governorate 21; municipality code 2118
21,2119,تيبار,Tibar,94,exact_or_high_confidence_label_match,36.507175,9.095985,January 2024 workbook row: governorate 21; municipality code 2119
21,2120,وشتاتة الجميلة,Ouechtata - El Jamila,98,reviewed_label_match,36.925219,9.099247,January 2024 workbook row: governorate 21; municipality code 2120
21,2121,سيدي اسماعيل,Sidi Ismail,93,exact_or_high_confidence_label_match,36.59797,9.159799,January 2024 workbook row: governorate 21; municipality code 2121
21,2122,السلوقية,Slouguia,92,reviewed_label_match,36.601352,9.514829,January 2024 workbook row: governorate 21; municipality code 2122
22,2211,جندوبة,Jendouba,117,exact_or_high_confidence_label_match,36.512462,8.716487,January 2024 workbook row: governorate 22; municipality code 2211
22,2212,بوسالم,Bou Salem,115,exact_or_high_confidence_label_match,36.559376,8.975012,January 2024 workbook row: governorate 22; municipality code 2212
22,2213,طبرقة,Tabarka,113,exact_or_high_confidence_label_match,36.91072,8.737608,January 2024 workbook row: governorate 22; municipality code 2213
22,2214,عين دراھم,Ain Draham,110,exact_or_high_confidence_label_match,36.798553,8.765431,January 2024 workbook row: governorate 22; municipality code 2214
22,2215,فرنانة,Fernana,111,exact_or_high_confidence_label_match,36.640929,8.681386,January 2024 workbook row: governorate 22; municipality code 2215
22,2216,بني مطير,Beni Mtir,104,exact_or_high_confidence_label_match,36.6979,8.743907,January 2024 workbook row: governorate 22; municipality code 2216
22,2217,غار الدماء,Ghardimaou,116,exact_or_high_confidence_label_match,36.466365,8.359276,January 2024 workbook row: governorate 22; municipality code 2217
22,2218,وادي مليز,Oued Meliz,109,exact_or_high_confidence_label_match,36.464571,8.569912,January 2024 workbook row: governorate 22; municipality code 2218
22,2219,بلطة بوعوان,Balta -Bouaouene,112,exact_or_high_confidence_label_match,36.691804,8.911161,January 2024 workbook row: governorate 22; municipality code 2219
22,2220,سوق السبت,Souk Es-Sabet,114,reviewed_label_match,36.485412,8.877727,January 2024 workbook row: governorate 22; municipality code 2220
22,2221,القلعة المعدن فرقصان,El Golaa - El Maaden -Forgassen,106,exact_or_high_confidence_label_match,36.56288,8.438077,January 2024 workbook row: governorate 22; municipality code 2221
22,2222,الجواودة,Jaouaouada,108,exact_or_high_confidence_label_match,36.640484,8.538316,January 2024 workbook row: governorate 22; municipality code 2222
22,2223,طبرقة الجديدة,Tabarka Nouvelle,105,explicit_reviewed_residual,36.74205,8.569903,January 2024 workbook row: governorate 22; municipality code 2223
22,2224,حمام بورقيبة,Hammem Bourguiba,107,explicit_reviewed_residual,36.902914,8.887981,January 2024 workbook row: governorate 22; municipality code 2224
23,2311,الكاف,Le Kef,132,exact_or_high_confidence_label_match,36.148754,8.631014,January 2024 workbook row: governorate 23; municipality code 2311
23,2312,نبر,Nebeur,125,exact_or_high_confidence_label_match,36.32038,8.779318,January 2024 workbook row: governorate 23; municipality code 2312
23,2313,الطويرف,Touiref,120,exact_or_high_confidence_label_match,36.346541,8.626097,January 2024 workbook row: governorate 23; municipality code 2313
23,2314,ساقية سيدي يوسف,Sakiet Sidi Youssef,128,exact_or_high_confidence_label_match,36.179732,8.437737,January 2024 workbook row: governorate 23; municipality code 2314
23,2315,تاجروين,Tajerouine,130,exact_or_high_confidence_label_match,35.963581,8.552462,January 2024 workbook row: governorate 23; municipality code 2315
23,2316,منزل سالم,Menzel Salem,122,exact_or_high_confidence_label_match,35.850892,8.476028,January 2024 workbook row: governorate 23; municipality code 2316
23,2317,قلعة سنان,Kalâat Snan,127,exact_or_high_confidence_label_match,35.80175,8.369563,January 2024 workbook row: governorate 23; municipality code 2317
23,2318,القلعة الخصباء,Kalâat Khasba,121,exact_or_high_confidence_label_match,35.71625,8.534199,January 2024 workbook row: governorate 23; municipality code 2318
23,2319,الجريصة,Djerissa,123,exact_or_high_confidence_label_match,35.823216,8.648232,January 2024 workbook row: governorate 23; municipality code 2319
23,2320,القصور,El Ksour,126,exact_or_high_confidence_label_match,35.834153,8.95636,January 2024 workbook row: governorate 23; municipality code 2320
23,2321,الدهماني,Dahmani,131,exact_or_high_confidence_label_match,35.949357,8.816239,January 2024 workbook row: governorate 23; municipality code 2321
23,2322,السرس,Es-Sers,129,exact_or_high_confidence_label_match,36.081898,8.960195,January 2024 workbook row: governorate 23; municipality code 2322
23,2323,الزعفران دير الكاف,Zâafrane - Dyr El Kef,124,exact_or_high_confidence_label_match,36.180217,8.874101,January 2024 workbook row: governorate 23; municipality code 2323
23,2324,بھرة,Bahra,119,exact_or_high_confidence_label_match,36.302617,8.896294,January 2024 workbook row: governorate 23; municipality code 2324
23,2325,المرجي,El Marja,118,exact_or_high_confidence_label_match,36.015993,9.089672,January 2024 workbook row: governorate 23; municipality code 2325
24,2411,سليانة‎,Siliana,144,exact_or_high_confidence_label_match,36.049734,9.308901,January 2024 workbook row: governorate 24; municipality code 2411
24,2412,بوعرادة,Bou Arada,142,exact_or_high_confidence_label_match,36.321602,9.623149,January 2024 workbook row: governorate 24; municipality code 2412
24,2413,قعفور,Gaâfour,139,exact_or_high_confidence_label_match,36.23313,9.343804,January 2024 workbook row: governorate 24; municipality code 2413
24,2414,الكريب,El Krib,141,exact_or_high_confidence_label_match,36.343114,9.079921,January 2024 workbook row: governorate 24; municipality code 2414
24,2415,سيدي بورويس,Sidi Bourouis,136,exact_or_high_confidence_label_match,36.185595,9.134929,January 2024 workbook row: governorate 24; municipality code 2415
24,2416,مكتر‎,Makthar,143,exact_or_high_confidence_label_match,35.857787,9.161687,January 2024 workbook row: governorate 24; municipality code 2416
24,2417,الروحية,Er-Rouhia,140,exact_or_high_confidence_label_match,35.701967,9.114437,January 2024 workbook row: governorate 24; municipality code 2417
24,2418,‫كسري,Kesra,138,exact_or_high_confidence_label_match,35.790116,9.382059,January 2024 workbook row: governorate 24; municipality code 2418
24,2419,برقو,Bargou,135,exact_or_high_confidence_label_match,36.102579,9.616342,January 2024 workbook row: governorate 24; municipality code 2419
24,2420,العروسة,El Aroussa,134,exact_or_high_confidence_label_match,36.365304,9.460467,January 2024 workbook row: governorate 24; municipality code 2420
24,2421,سيدي مرشد,Sidi Morched,137,exact_or_high_confidence_label_match,35.94982,9.419068,January 2024 workbook row: governorate 24; municipality code 2421
24,2422,الحبابسة,El Hababsa,133,exact_or_high_confidence_label_match,35.582673,9.304576,January 2024 workbook row: governorate 24; municipality code 2422
31,3111,سوسة,Sousse,162,exact_or_high_confidence_label_match,35.816614,10.623241,January 2024 workbook row: governorate 31; municipality code 3111
31,3112,القصيبة الثريات,Ksibet Sousse et Thrayet,147,reviewed_label_match,35.758199,10.640578,January 2024 workbook row: governorate 31; municipality code 3112
31,3113,الزھور,Ezzouhour,160,exact_or_high_confidence_label_match,35.79236,10.573964,January 2024 workbook row: governorate 31; municipality code 3113
31,3114,المسعدين,Zaouiet Sousse,152,exact_or_high_confidence_label_match,35.785005,10.61872,January 2024 workbook row: governorate 31; municipality code 3114
31,3115,حمام سوسة,Hammam Sousse,158,exact_or_high_confidence_label_match,35.870602,10.586657,January 2024 workbook row: governorate 31; municipality code 3115
31,3116,اكودة,Akouda,155,exact_or_high_confidence_label_match,35.883198,10.560745,January 2024 workbook row: governorate 31; municipality code 3116
31,3117,القلعة الكبري,Kalâa Kébira,159,exact_or_high_confidence_label_match,35.869712,10.430094,January 2024 workbook row: governorate 31; municipality code 3117
31,3118,سيدي بوعلي,Sidi Bou Ali,151,exact_or_high_confidence_label_match,35.969459,10.41825,January 2024 workbook row: governorate 31; municipality code 3118
31,3119,هرقلة,Hergla,146,exact_or_high_confidence_label_match,36.027973,10.453348,January 2024 workbook row: governorate 31; municipality code 3119
31,3120,النفيضة,Enfidha,156,exact_or_high_confidence_label_match,36.120449,10.362302,January 2024 workbook row: governorate 31; municipality code 3120
31,3121,بوفيشة,Bouficha,154,exact_or_high_confidence_label_match,36.275803,10.424761,January 2024 workbook row: governorate 31; municipality code 3121
31,3122,سيدي الھاني,Sidi El Heni,149,exact_or_high_confidence_label_match,35.711916,10.316621,January 2024 workbook row: governorate 31; municipality code 3122
31,3123,مساكن,MSaken,161,exact_or_high_confidence_label_match,35.696225,10.52093,January 2024 workbook row: governorate 31; municipality code 3123
31,3124,القلعة الصغري,Kalâa Seghira,157,exact_or_high_confidence_label_match,35.79992,10.476672,January 2024 workbook row: governorate 31; municipality code 3124
31,3125,المسعدين,Messâdine,148,exact_or_high_confidence_label_match,35.764,10.600657,January 2024 workbook row: governorate 31; municipality code 3125
31,3126,كندار,Kandar,150,exact_or_high_confidence_label_match,35.916004,10.258225,January 2024 workbook row: governorate 31; municipality code 3126
31,3127,القريمات ھيشر,Gerimet Hicher,153,exact_or_high_confidence_label_match,36.09926,10.250273,January 2024 workbook row: governorate 31; municipality code 3127
31,3128,شط مريم,Chott Meriam,145,exact_or_high_confidence_label_match,35.938226,10.534811,January 2024 workbook row: governorate 31; municipality code 3128
32,3211,المنستير,Monastir,193,exact_or_high_confidence_label_match,35.759881,10.778976,January 2024 workbook row: governorate 32; municipality code 3211
32,3212,خنيس,Khenis,178,exact_or_high_confidence_label_match,35.71985,10.791109,January 2024 workbook row: governorate 32; municipality code 3212
32,3213,الوردانين,Ouerdanine,188,exact_or_high_confidence_label_match,35.699326,10.670813,January 2024 workbook row: governorate 32; municipality code 3213
32,3214,الساحلين معتمر,Sahline Môotmar,187,exact_or_high_confidence_label_match,35.742472,10.716535,January 2024 workbook row: governorate 32; municipality code 3214
32,3215,سيدي عامر و مسجد عيسى,Sidi Ameur Mesjed Issa,176,exact_or_high_confidence_label_match,35.723904,10.710321,January 2024 workbook row: governorate 32; municipality code 3215
32,3216,زرمدين,Zermadine,185,exact_or_high_confidence_label_match,35.562317,10.695473,January 2024 workbook row: governorate 32; municipality code 3216
32,3217,بني حسان,Beni Hassen,177,exact_or_high_confidence_label_match,35.558859,10.812909,January 2024 workbook row: governorate 32; municipality code 3217
32,3218,غنادة,Ghnada,167,exact_or_high_confidence_label_match,35.510015,10.727572,January 2024 workbook row: governorate 32; municipality code 3218
32,3219,جمال,Djammel,191,reviewed_label_match,35.603755,10.767561,January 2024 workbook row: governorate 32; municipality code 3219
32,3220,منزل كامل,Menzel Kamel,175,exact_or_high_confidence_label_match,35.622625,10.64924,January 2024 workbook row: governorate 32; municipality code 3220
32,3221,زاوية قنطش,Zouiet Kontoch,172,exact_or_high_confidence_label_match,35.644698,10.762617,January 2024 workbook row: governorate 32; municipality code 3221
32,3222,بنبلـة و المنارة,Bembla Manara,184,exact_or_high_confidence_label_match,35.688356,10.784691,January 2024 workbook row: governorate 32; municipality code 3222
32,3223,منزل نور,Menzel En-Nour,179,exact_or_high_confidence_label_match,35.663807,10.77126,January 2024 workbook row: governorate 32; municipality code 3223
32,3224,المصدور/ منزل حرب,EL Masdour,166,exact_or_high_confidence_label_match,35.684475,10.736276,January 2024 workbook row: governorate 32; municipality code 3224
32,3225,المكنين,Moknine,192,exact_or_high_confidence_label_match,35.597223,10.896432,January 2024 workbook row: governorate 32; municipality code 3225
32,3226,سيدي بنور,Sidi Bennour,165,exact_or_high_confidence_label_match,35.526796,10.904207,January 2024 workbook row: governorate 32; municipality code 3226
32,3227,منزل فارسي,Menzel Farsi,163,exact_or_high_confidence_label_match,35.560206,10.863984,January 2024 workbook row: governorate 32; municipality code 3227
32,3228,عميرة الفحول,Amiret El Fhoul,168,exact_or_high_confidence_label_match,35.457528,10.816364,January 2024 workbook row: governorate 32; municipality code 3228
32,3229,عميرة التوازرة,Amiret Touazra,171,exact_or_high_confidence_label_match,35.476659,10.764541,January 2024 workbook row: governorate 32; municipality code 3229
32,3230,عميرة الحجاج,Amirat Hojjaj,174,reviewed_label_match,35.502464,10.813222,January 2024 workbook row: governorate 32; municipality code 3230
32,3231,الشراحيل,Cherahil,164,exact_or_high_confidence_label_match,35.509546,10.858427,January 2024 workbook row: governorate 32; municipality code 3231
32,3232,بقالطة,Bekalta,186,exact_or_high_confidence_label_match,35.600833,11.010795,January 2024 workbook row: governorate 32; municipality code 3232
32,3233,طبلبة,Teboulba,189,exact_or_high_confidence_label_match,35.639918,10.957132,January 2024 workbook row: governorate 32; municipality code 3233
32,3234,قصر ھلال,Ksar Helal,190,exact_or_high_confidence_label_match,35.640739,10.869948,January 2024 workbook row: governorate 32; municipality code 3234
32,3235,قصيبة المديوني,Ksibt El Mediouni,182,exact_or_high_confidence_label_match,35.68614,10.838517,January 2024 workbook row: governorate 32; municipality code 3235
32,3236,بنان بوضر,Benen Bodher,183,exact_or_high_confidence_label_match,35.663545,10.824164,January 2024 workbook row: governorate 32; municipality code 3236
32,3237,طوزة,Touza,173,exact_or_high_confidence_label_match,35.623347,10.8307,January 2024 workbook row: governorate 32; municipality code 3237
32,3238,صيادة,Sayada,181,exact_or_high_confidence_label_match,35.662245,10.908009,January 2024 workbook row: governorate 32; municipality code 3238
32,3239,لمطة,Lamta,169,exact_or_high_confidence_label_match,35.670432,10.879461,January 2024 workbook row: governorate 32; municipality code 3239
32,3240,بوحجر,Bou-Hajar,170,exact_or_high_confidence_label_match,35.669288,10.863731,January 2024 workbook row: governorate 32; municipality code 3240
32,3241,منزل حياة,Menzel Hayet,180,exact_or_high_confidence_label_match,35.546088,10.568653,January 2024 workbook row: governorate 32; municipality code 3241
33,3311,المهدية,Mahdia,211,exact_or_high_confidence_label_match,35.508679,10.994298,January 2024 workbook row: governorate 33; municipality code 3311
33,3312,الرجيش,Réjiche,194,exact_or_high_confidence_label_match,35.459375,11.022007,January 2024 workbook row: governorate 33; municipality code 3312
33,3313,بومرداس,Bou Merdes,199,exact_or_high_confidence_label_match,35.427911,10.748361,January 2024 workbook row: governorate 33; municipality code 3313
33,3314,اولاد الشامخ,Ouled Chamekh,204,exact_or_high_confidence_label_match,35.4567,10.310257,January 2024 workbook row: governorate 33; municipality code 3314
